Title of Activity,Please identify the AFU Principle(s) most relevant to this work.,Please identify who the activity is aimed at.,What is the primary purpose of the activity?
"Global Intergenerational Week, Dublin City University","""Principle 1: To encourage the participation of older adults in all the core activities of the University, including educational and research programs."",Principle 4: To promote intergenerational learning in order to facilitate the reciprocal sharing of expertise between learners of all ages.,Principle 9: To engage actively with the university’s own retired community.","Undergraduate Students,Community and Organizational Partners,Lifelong Learners,University Staff",Bring students and older adults together for learning and connection through campus talks and meet-ups during Global Intergenerational Week
Manchester Urban Ageing Research Group Public Seminar on Ageing,"Principle 8: To enhance access for older adults to the university’s range of health and wellness programs and its arts and cultural activities.,Principle 9: To engage actively with the university’s own retired community.","Lifelong Learners,Post-Graduate Students,University Faculty,Community Members",Share current research on ageing environments in a free public seminar series. 
University of Manitoba Aage Friendly University Showcase,"""Principle 1: To encourage the participation of older adults in all the core activities of the University, including educational and research programs."",Principle 2: To promote personal and career development in the second half of life and to support those who wish to pursue second careers.,Principle 9: To engage actively with the university’s own retired community.","Lifelong Learners,Community and Organizational Partners,Undergraduate Students,Graduate Students,University Staff,University Faculty","Highlight Age Friendly University resources, research, and programs during the Spring Research Symposium."
Osher Lifelong Learning Institute New Horizons Band Concert ,"""Principle 1: To encourage the participation of older adults in all the core activities of the University, including educational and research programs."",Principle 10: To ensure regular dialogue with organizations representing the interests of the aging population. ","Lifelong Learners,Community Members,Undergraduate Students,Graduate Students,University Faculty",Provide ensemble music performance and learning for older adult musicians with public concerts.
International Day of Older Persons Public Program,"Principle 2: To promote personal and career development in the second half of life and to support those who wish to pursue second careers.,Principle 10: To ensure regular dialogue with organizations representing the interests of the aging population. ","Undergraduate Students,Post-Graduate Students,Graduate Students,Lifelong Learners,University Faculty,Community Members",Mark the United Nations International Day of Older Persons with talks and performances on ageing with dignity.
Age of Champions Health & Wellness Fair,"""Principle 1: To encourage the participation of older adults in all the core activities of the University, including educational and research programs."",Principle 2: To promote personal and career development in the second half of life and to support those who wish to pursue second careers.,Principle 8: To enhance access for older adults to the university’s range of health and wellness programs and its arts and cultural activities.","Lifelong Learners,Community Members,Community and Organizational Partners,Undergraduate Students,Graduate Students,University Faculty","Deliver an intergenerational fair featuring wellness demonstrations, health screenings, and health education, pairing resources with community and university participants. "
Turner Senior Wellness Program,"""Principle 1: To encourage the participation of older adults in all the core activities of the University, including educational and research programs."",Principle 8: To enhance access for older adults to the university’s range of health and wellness programs and its arts and cultural activities.,Principle 6: To ensure that the university’s research agenda is informed by the needs of an aging society and to promote public discourse on how higher education can better respond to the varied interests and needs of older adults.","Community and Organizational Partners,Community Members,Lifelong Learners,University Staff,Undergraduate Students","Offer a mix of wellness programming for older adults' live classes, including balance, yoga, nutrition, healthy living talks, and health education, promoting quality of life through accessible, low-cost wellness opportunities"
Positive Aging Conference,"Principle 10: To ensure regular dialogue with organizations representing the interests of the aging population. ,Principle 8: To enhance access for older adults to the university’s range of health and wellness programs and its arts and cultural activities.",Community and Organizational Partners,"To provide a fun and enriching conference for older adults on topics of interest to enhance positive aging, health and well-being.  "
Trent University Intergenerational Classroom,"Principle 3: To recognize the range of educational needs of older adults (from those who were early school-leavers through to those who wish to pursue Master’s or Ph.D. qualifications).,Principle 4: To promote intergenerational learning in order to facilitate the reciprocal sharing of expertise between learners of all ages.","Undergraduate Students,Community Members","Dr. Elizabeth Russell and Tabytha Wells developed, implemented, and evaluated an intergenerational Psychology of Aging course at Trent University in Winter, 2024 and 2026. This third-year course included and intentionally connected 60 university students and 13 older participants from the community (aged 65+). The classroom aimed to encourage a diverse view of aging while fostering meaningful intergenerational connections through formal lectures and informal intergenerational group activities. "
Micro-certificate – Facilitating Older Adult Learning,"Principle 3: To recognize the range of educational needs of older adults (from those who were early school-leavers through to those who wish to pursue Master’s or Ph.D. qualifications).,Principle 5: To widen access to online educational opportunities for older adults to ensure a diversity of routes to participation.,Principle 7: To increase the understanding of students of the longevity dividend and the increasing complexity and richness that aging brings to our society.","Undergraduate Students,Graduate Students,Post-Graduate Students,University Faculty,Community Members,Lifelong Learners,Community and Organizational Partners",The main goal of this micro-certificate is to provide an educational opportunity for a wide range of individuals who might work or volunteer in any kind of setting where older adults are learning. Within the micro-certificate there are three courses of 4 weeks each: 1) Older Adult Development and Long Life; 2) Universal Design for Learning to Facilitate Older Adult Learning; and 3) Using Technology for Teaching and Learning with Older Adults.
